id,text,date,like_count,rt_count,category,from
1560732675899817984,Might need a new PO Box after tweeting this 🤣,2022-08-19 20:57:21+00:00,88037,2424,DirectTweet,elonmusk
1560720224588120064,"Nice letter from Bill Nix, who would’ve been my prof at Stanford if I hadn’t put grad studies on (permanent) deferment https://t.co/ioq0mGwN7K",2022-08-19 20:07:52+00:00,149025,7566,DirectTweet,elonmusk
1560711872344690691,"@SpaceX Each fairing half is a fully capable reentry vehicle with its own thrusters, thermal protection, avionics &amp; sensor suite",2022-08-19 19:34:41+00:00,17336,1129,ReplyTweet,SpaceX
1560711872344690691,"@SpaceX Each fairing half is a fully capable reentry vehicle with its own thrusters, thermal protection, avionics &amp; sensor suite",2022-08-19 19:34:41+00:00,17336,1129,ReplyTweet,SpaceX
1560709005558910981,RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites to orbit → https://t.co/R2EbNzbkrU  https://t.co/ugqA7fPTVT,2022-08-19 19:23:18+00:00,0,2538,ReTweet,SpaceX
1560651065854656513,RT @SpaceX: Separation confirmed! Dragon will perform three departure burns to move away from the @space_station https://t.co/kcgap2pxZF,2022-08-19 15:33:04+00:00,0,1456,ReTweet,SpaceX
1560634159386992640,@Dilbert_Daily Free Willy was never free 😢,2022-08-19 14:25:53+00:00,14497,822,ReplyTweet,Dilbert_Daily
1560630340137664513,RT @SpaceX: SKY Perfect JSAT has selected Starship for launch of its Superbird-9 communications satellite! https://t.co/sFZssT3omn https://…,2022-08-19 14:10:42+00:00,0,2894,ReTweet,SpaceX
1560508081729044480,Still so grateful 🥹 https://t.co/EhdyXw4fqN,2022-08-19 06:04:54+00:00,556900,31564,DirectTweet,SpaceX
1560503326105649153,"@teslaownersSV @CChomp13 There are many major code changes, so this will be an extra cautious rollout.

Releasing on 8/20 to ~1000 Tesla owners, then 10.69.1 next week to accommodate feedback &amp; release to ~10k customers, then 10.69.2 week after &amp; release to rest of FSD Beta.",2022-08-19 05:46:00+00:00,4543,452,ReplyTweet,teslaownersSV
1560499044438495233,@CChomp13 Entropy,2022-08-19 05:28:59+00:00,11626,564,ReplyTweet,CChomp13
1560466783567478784,https://t.co/KBjnfkU4ia,2022-08-19 03:20:47+00:00,218885,16827,DirectTweet,CChomp13
